Id,SalePrice
1461,128059.39254334196
1462,199747.22122945474
1463,186602.37749357824
1464,196756.5917190404
1465,192329.95386919007
1466,173355.79486816353
1467,190378.4664653137
1468,161641.3997894728
1469,207714.44439024315
1470,109139.65619790368
1471,209830.44025406428
1472,101356.74099875381
1473,89733.44092066842
1474,145124.36197106633
1475,100510.49084454286
1476,355745.3473226477
1477,243931.90855084313
1478,284867.3425403505
1479,283414.35254145623
1480,430511.9426805179
1481,291300.6284688811
1482,212774.98835456767
1483,187233.61263632658
1484,173230.9205471028
1485,193712.4892881529
1486,215163.35207686597
1487,298233.2231521008
1488,242100.15746616782
1489,199184.36577821802
1490,248933.0980713989
1491,211760.74246179778
1492,101750.50608274457
1493,169469.36011069734
1494,287636.6367429474
1495,279360.2107908225
1496,249039.6489130396
1497,183508.85623075836
1498,174222.25848977687
1499,168154.71992726228
1500,156693.89870138722
1501,176513.63014238444
1502,153841.25420542923
1503,286145.4859614817
1504,246422.78623955185
1505,232571.61865770002
1506,197291.32833580463
1507,272998.7403618423
1508,220781.2148453456
1509,158314.06890047155
1510,140520.01123498217
1511,162112.66935560573
1512,182873.77189041465
1513,148861.1309098499
1514,155900.68417537352
1515,222612.31251672842
1516,170750.67318277317
1517,174029.65607990348
1518,124518.93123132573
1519,238613.5815493744
1520,130301.29047515593
1521,144557.4339462549
1522,189278.8533442563
1523,96456.91110702022
1524,135948.6358747792
1525,111011.23884566547
1526,84935.91947363364
1527,91911.17228964926
1528,153643.20782754407
1529,158564.9767266044
1530,189713.33860350028
1531,114506.474778231
1532,117207.5603166821
1533,174527.89869513758
1534,156864.61266752076
1535,181289.11208930728
1536,117394.03352853889
1537,44603.796434242744
1538,162462.77595098014
1539,239367.33164012176
1540,117033.61043046415
1541,151417.59173032665
1542,212296.0144792043
1543,211666.71135620936
1544,90062.82599525177
1545,104077.79466371611
1546,144662.9004660654
1547,152080.76047264808
1548,148367.99903648696
1549,118563.7386622196
1550,138624.32024356606
1551,146402.6467909303
1552,153239.46945810248
1553,173082.95344768674
1554,120606.27732066228
1555,192799.71159368614
1556,83656.33056583046
1557,137332.94412042596
1558,110090.92329874705
1559,76598.70036627748
1560,143129.85238569137
1561,158798.49644918903
1562,137662.8959648395
1563,122212.39822287043
1564,179839.231302327
1565,143537.8847078113
1566,258366.76598030818
1567,77497.83729507239
1568,233081.50608191104
1569,151942.80161400256
1570,135507.82221563323
1571,109821.4955775023
1572,151036.88729595044
1573,277972.07846670435
1574,124755.41050629783
1575,246200.23051718273
1576,260697.79875120637
1577,200425.88248948683
1578,155124.34553001565
1579,136641.92360053444
1580,200766.8975287208
1581,158083.68502364517
